date,irrigation-ban,precipitation,sunshine,temperature,real_consumption
2018-03-23,0.0,0.1,0.0,0.49583333333333335,14674.0
2018-03-24,0.0,1.0,0.0,2.0833333333333335,14456.0
2018-03-25,0.0,0.0,7.2380555555555555,4.0249999999999995,14456.0
2018-03-26,0.0,3.4,0.0,2.275,13847.0
2018-03-27,0.0,0.0,0.3694444444444444,-0.7000000000000001,14733.0
2018-03-28,0.0,0.0,11.587777777777776,-0.9583333333333334,14711.0
2018-03-29,0.0,0.0,9.691944444444443,0.2125,13267.0
2018-03-30,0.0,0.0,12.278055555555556,0.8500000000000001,14782.0
2018-03-31,0.0,0.0,10.807222222222222,1.7041666666666666,13769.0
2018-04-01,0.0,0.0,9.242777777777778,2.2875,14484.0
2018-04-02,0.0,0.0,12.326666666666666,1.075,15578.0
2018-04-03,0.0,5.3,0.0225,1.425,15578.0
2018-04-04,0.0,7.3,1.6341666666666668,7.0874999999999995,15063.0
2018-04-05,0.0,1.8,0.3705555555555556,6.3,15567.0
2018-04-06,0.0,0.0,12.806666666666668,4.7124999999999995,14740.0
2018-04-07,0.0,0.0,7.633333333333334,7.808333333333334,15500.0
2018-04-08,0.0,0.0,10.426666666666666,11.104166666666666,19290.0
2018-04-09,0.0,0.0,5.623888888888889,9.216666666666667,14653.0
2018-04-10,0.0,0.0,7.176388888888889,6.6625000000000005,15007.0
2018-04-11,0.0,0.0,11.431666666666668,7.370833333333334,13956.0
2018-04-12,0.0,0.0,11.32,8.745833333333334,15033.0
2018-04-13,0.0,0.0,12.014444444444443,12.258333333333333,14391.0
2018-04-14,0.0,0.1,6.5488888888888885,13.075000000000001,15889.0
2018-04-15,0.0,2.8,0.5388888888888889,8.833333333333334,15441.0
2018-04-16,0.0,0.0,1.4105555555555556,9.4125,14976.0
2018-04-17,0.0,0.0,0.4347222222222222,8.333333333333334,17055.0
2018-04-18,0.0,0.0,5.514166666666667,11.2125,15295.0
2018-04-19,0.0,0.0,5.049722222222222,11.791666666666666,14381.0
2018-04-20,0.0,0.0,12.769444444444444,15.208333333333334,16322.000000000002
2018-04-21,0.0,0.0,14.100277777777778,10.208333333333334,17250.0
2018-04-22,0.0,2.5,8.867777777777778,8.741666666666667,15846.0
2018-04-23,0.0,4.3,3.120555555555556,9.658333333333333,14679.0
2018-04-24,0.0,0.3,0.0,7.908333333333334,14697.0
2018-04-25,0.0,0.2,5.6563888888888885,8.145833333333334,14026.0
2018-04-26,0.0,10.0,0.5286111111111111,7.6625000000000005,15387.0
2018-04-27,0.0,0.1,4.4991666666666665,8.7875,14718.0
2018-04-28,0.0,2.1,3.780833333333333,8.745833333333334,15814.0
2018-04-29,0.0,0.7,4.349444444444444,10.200000000000001,15540.0
2018-04-30,0.0,15.9,0.1119444444444444,9.258333333333333,16528.0
2018-05-01,0.0,2.3,1.165,8.924999999999999,16891.0
2018-05-02,0.0,0.0,10.994444444444444,10.441666666666666,15130.0
2018-05-03,0.0,1.2,7.586111111111111,8.808333333333334,16822.0
2018-05-04,0.0,0.0,9.21888888888889,9.475,15576.0
2018-05-05,0.0,0.0,10.547222222222222,11.816666666666668,16386.0
2018-05-06,0.0,0.0,13.323333333333334,13.604166666666666,18880.0
2018-05-07,0.0,0.0,15.101944444444444,16.8625,16424.0
2018-05-08,0.0,0.0,15.075,18.183333333333334,16378.999999999998
2018-05-09,0.0,0.0,15.341944444444444,19.733333333333334,15935.999999999998
2018-05-10,0.0,0.7,13.119166666666668,20.158333333333335,18106.0
2018-05-11,0.0,0.0,10.241944444444444,13.533333333333333,15232.0
2018-05-12,0.0,0.0,11.259166666666667,15.891666666666666,16204.0
2018-05-13,0.0,0.0,7.185833333333333,20.341666666666665,19004.0
2018-05-14,0.0,0.0,13.277222222222225,21.599999999999998,17837.0
2018-05-15,0.0,0.0,15.42027777777778,21.75,19297.0
2018-05-16,0.0,0.0,11.181666666666668,20.066666666666666,19439.0
2018-05-17,0.0,0.0,9.382222222222222,16.783333333333335,18648.0
2018-05-18,0.0,0.0,14.3475,16.3,18895.0
2018-05-19,0.0,0.0,15.666944444444445,15.945833333333333,20664.0
2018-05-20,0.0,0.0,12.38111111111111,17.091666666666665,21905.0
2018-05-21,0.0,0.0,12.726944444444444,17.383333333333333,19404.0
2018-05-22,0.0,0.0,15.78138888888889,18.304166666666667,19149.0
2018-05-23,0.0,0.0,15.715,19.287499999999998,20633.0
2018-05-24,0.0,0.0,15.770555555555555,20.716666666666665,22624.0
2018-05-25,0.0,0.0,14.066944444444443,21.84166666666667,23368.0
2018-05-26,0.0,0.0,12.087777777777776,21.383333333333336,24532.0
2018-05-27,0.0,1.3,3.730555555555556,20.820833333333333,22397.0
2018-05-28,0.0,6.1,2.4297222222222223,17.316666666666666,17799.0
2018-05-29,0.0,0.0,4.239444444444445,21.045833333333334,18445.0
2018-05-30,0.0,0.0,15.841111111111111,24.65416666666667,19277.0
2018-05-31,0.0,0.0,16.01361111111111,24.287499999999998,24306.0
2018-06-01,0.0,0.0,16.038611111111113,22.245833333333334,22089.0
2018-06-02,0.0,0.0,15.763333333333334,22.641666666666666,21929.0
2018-06-03,0.0,0.0,15.794166666666667,22.412499999999998,23977.0
2018-06-04,0.0,0.0,10.595833333333331,21.96666666666667,22213.0
2018-06-05,0.0,0.0,16.296944444444446,15.799999999999999,18765.0
2018-06-06,0.0,0.0,8.317777777777778,17.412499999999998,20655.0
2018-06-07,0.0,0.0,15.620555555555557,20.104166666666668,19713.0
2018-06-08,0.0,0.0,16.28611111111111,21.745833333333334,20424.0
2018-06-09,0.0,0.0,13.625833333333333,21.608333333333334,20606.0
2018-06-10,0.0,4.4,5.141388888888889,19.370833333333334,18150.0
2018-06-11,0.0,0.7,0.6838888888888889,15.445833333333333,15000.0
2018-06-12,0.0,0.0,10.323055555555555,17.833333333333332,17806.0
2018-06-13,0.0,0.0,14.539166666666668,17.504166666666666,18096.0
2018-06-14,0.0,2.4,2.3408333333333333,16.2,16029.0
2018-06-15,0.0,0.0,8.023888888888889,16.337500000000002,17511.0
2018-06-16,0.0,5.2,7.878055555555555,17.016666666666666,17517.0
2018-06-17,0.0,3.1,2.357222222222222,15.262500000000001,15806.0
2018-06-18,0.0,0.0,2.9433333333333334,15.858333333333334,14178.0
2018-06-19,0.0,0.8,7.530555555555556,15.216666666666667,14456.0
2018-06-20,0.0,8.3,2.3022222222222224,14.195833333333333,13635.0
2018-06-21,0.0,4.9,3.263055555555556,13.745833333333332,14824.0
2018-06-22,0.0,0.0,9.843333333333334,14.420833333333334,13984.0
2018-06-23,0.0,0.0,13.923333333333334,15.133333333333333,15089.0
2018-06-24,0.0,0.0,16.1125,17.308333333333334,16745.0
2018-06-25,0.0,0.0,10.605833333333331,19.9375,17850.0
2018-06-26,0.0,0.0,16.2825,22.400000000000002,18960.0
2018-06-27,0.0,0.0,14.870833333333334,21.712500000000002,18622.0
2018-06-28,0.0,0.0,16.380555555555556,22.325,20419.0
2018-06-29,0.0,0.0,16.44388888888889,19.041666666666668,19782.0
2018-06-30,0.0,0.0,16.525555555555556,17.841666666666665,20496.0
2018-07-01,0.0,0.0,16.51361111111111,18.833333333333332,21989.0
2018-07-02,0.0,0.0,16.496111111111112,19.016666666666666,22105.0
2018-07-03,0.0,0.0,16.423333333333332,20.495833333333334,20731.0
2018-07-04,0.0,0.0,15.83611111111111,20.716666666666665,21120.0
2018-07-05,0.0,0.0,8.753333333333334,18.545833333333334,19984.0
2018-07-06,1.0,0.0,12.502222222222224,19.5625,20207.0
2018-07-07,1.0,0.0,11.672777777777778,20.8875,17859.0
2018-07-08,1.0,0.0,15.651388888888889,20.954166666666666,17919.0
2018-07-09,1.0,0.8,8.885,19.341666666666665,16356.000000000002
2018-07-10,1.0,0.0,10.824722222222222,21.379166666666666,15819.0
