time,flow,acc_precip,mean_radiation,mean_temp
2023-11-07 00:00:00+00:00,2537.0609999999997,4.6,937.0,8.366666666666667
2023-11-08 00:00:00+00:00,1988.1732744148505,1.7999999999999998,0.0,8.285714285714286
2023-11-09 00:00:00+00:00,3005.5261836158193,5.8,337.0,8.53
2023-11-10 00:00:00+00:00,3490.331014477401,4.2,689.0,7.275
2023-11-14 00:00:00+00:00,3194.873296606635,2.8000000000000003,266.7,5.277777777777778
2023-11-15 00:00:00+00:00,3711.051168700638,11.9,339.5,4.386666666666667
2023-11-16 00:00:00+00:00,3060.8881229271788,0.8,458.8,3.566666666666667
2023-11-19 00:00:00+00:00,3041.0265689164185,10.7,161.0,5.516666666666667
2023-11-20 00:00:00+00:00,2480.999531468674,1.0,207.0,5.5
2023-11-22 00:00:00+00:00,2611.366947538338,2.8,3.0,5.828571428571428
2023-11-23 00:00:00+00:00,3199.7710464573925,6.6000000000000005,365.0,7.517647058823529
2023-11-24 00:00:00+00:00,2752.9805773638946,1.6,809.0,2.2944444444444443
2023-11-25 00:00:00+00:00,2207.530161299435,0.0,935.0,2.0
2023-11-26 00:00:00+00:00,1575.55154519774,0.0,274.0,-2.8111111111111113
2023-11-28 00:00:00+00:00,1632.716887409201,0.0,778.0,-4.785714285714286
2023-11-29 00:00:00+00:00,1433.6504085772985,0.0,553.0,-6.254545454545454
2023-11-30 00:00:00+00:00,1378.4826002824857,0.0,0.0,-3.95
2023-12-05 00:00:00+00:00,1440.0638930084747,0.0,323.0,1.575
2023-12-06 00:00:00+00:00,1794.80908393866,0.7,0.0,0.7999999999999999
2023-12-08 00:00:00+00:00,2307.026317514124,3.3000000000000003,140.0,0.7899999999999999
2023-12-09 00:00:00+00:00,2198.801191669116,0.8,144.0,2.822222222222222
2023-12-10 00:00:00+00:00,2002.9939075867635,0.5,83.0,2.957142857142857
2023-12-11 00:00:00+00:00,2192.9302958354315,1.0,140.0,3.3055555555555554
2023-12-12 00:00:00+00:00,2014.7188929378528,0.0,190.0,1.98
2023-12-13 00:00:00+00:00,2109.0681059322037,0.30000000000000004,143.4,-0.2375
2023-12-16 00:00:00+00:00,1452.078486946343,0.0,212.4,8.190000000000001
2023-12-17 00:00:00+00:00,1460.7650070164646,0.6000000000000001,1.7,7.922222222222222
2023-12-18 00:00:00+00:00,1753.0841656073444,0.30000000000000004,85.2,8.2875
2023-12-20 00:00:00+00:00,2548.9747217514127,3.0,443.1,3.55
2023-12-21 00:00:00+00:00,4138.278331173147,17.6,270.0,6.041176470588235
2023-12-22 00:00:00+00:00,2963.5659186758617,0.0,599.0,2.0
2023-12-23 00:00:00+00:00,1675.077183615819,0.0,0.0,-0.3285714285714286
2023-12-24 00:00:00+00:00,2567.2206020984663,5.6,124.5,5.992857142857143
2023-12-25 00:00:00+00:00,1892.3933507532956,0.0,0.0,3.9166666666666665
2023-12-26 00:00:00+00:00,1987.1758478611787,0.0,426.0,3.757142857142857
2023-12-27 00:00:00+00:00,1765.183011702986,0.0,241.6,1.3
2023-12-28 00:00:00+00:00,3247.5930162972622,4.6,215.8,7.769230769230769
2023-12-29 00:00:00+00:00,3189.9032000000007,3.1,291.2,6.126666666666667
2023-12-31 00:00:00+00:00,2978.980770621469,6.6,161.0,5.333333333333333
2024-01-03 00:00:00+00:00,3558.418373618584,8.9,265.3,-0.4222222222222222
2024-01-04 00:00:00+00:00,2687.386286016949,0.0,332.7,-3.4583333333333335
2024-01-05 00:00:00+00:00,2181.8115361229693,0.0,19.0,-5.8375
2024-01-06 00:00:00+00:00,1942.0748885750156,0.0,544.9,-4.133333333333333
2024-01-07 00:00:00+00:00,1592.2734806295398,0.0,0.0,-6.457142857142857
2024-01-08 00:00:00+00:00,1806.1783696529458,0.0,746.3,-7.421428571428572
2024-01-10 00:00:00+00:00,1764.9314015334949,0.0,0.8,-0.5285714285714286
2024-01-11 00:00:00+00:00,1762.0818411801633,0.0,695.7,-0.4444444444444444
2024-01-12 00:00:00+00:00,1496.6734611581921,0.0,3.0,0.24999999999999997
2024-01-13 00:00:00+00:00,2919.2386091606136,0.9,609.0,3.307142857142857
2024-01-14 00:00:00+00:00,1814.8688665254238,0.9,3.0,0.9625
2024-01-18 00:00:00+00:00,1317.6503878127521,0.0,247.0,-5.671428571428572
2024-01-19 00:00:00+00:00,1765.4121823218693,4.2,344.0,0.009090909090909078
2024-01-20 00:00:00+00:00,2303.675347841049,2.5,369.0,3.5041666666666664
2024-01-21 00:00:00+00:00,1684.9266735468443,2.7,261.0,2.15
2024-01-22 00:00:00+00:00,3333.0355832850887,13.3,562.0,6.9125000000000005
2024-01-23 00:00:00+00:00,2790.7470519901367,9.8,729.0,5.633333333333333
2024-01-24 00:00:00+00:00,3853.280023494784,11.4,301.0,7.791666666666667
2024-01-25 00:00:00+00:00,2542.1522097953425,0.0,1083.0,5.554166666666667
2024-01-26 00:00:00+00:00,3143.5350741768057,10.1,304.0,5.479166666666667
2024-01-27 00:00:00+00:00,2314.5061932638782,0.0,397.0,5.579166666666667
2024-01-28 00:00:00+00:00,1903.9433091681121,0.0,1305.0,4.225
2024-01-29 00:00:00+00:00,1790.994374167216,0.0,591.0,4.458333333333333
2024-01-30 00:00:00+00:00,1785.7061215256679,0.30000000000000004,387.0,6.1000000000000005
2024-01-31 00:00:00+00:00,1868.5155259513176,3.7,816.0,4.908333333333333
2024-02-01 00:00:00+00:00,1735.321781477711,0.4,1162.0,4.933333333333334
2024-02-02 00:00:00+00:00,1583.387071548247,0.9,222.0,6.6625000000000005
