Date,Qobs,sim1,sim2
2000-01-02,10.6,13.38,12.62
2000-01-03,10.35,14.21,13.4
2000-01-04,10.3,14.07,12.92
2000-01-05,10.4,13.87,12.89
2000-01-06,10.7,13.96,13.16
2000-01-07,10.95,14.15,13.36
2000-01-08,11.05,14.29,13.42
2000-01-09,11.25,14.38,13.45
2000-01-10,11.25,14.45,13.48
2000-01-11,11.35,14.55,13.56
2000-01-12,11.55,14.67,13.66
2000-01-13,11.4,14.74,13.67
2000-01-14,11.2,14.77,13.63
2000-01-15,10.8,14.75,13.56
2000-01-16,10.35,14.7,13.48
2000-01-17,10.0,14.64,13.39
2000-01-18,9.645,14.66,13.45
2000-01-19,9.33,14.74,13.54
2000-01-20,8.925,14.79,13.55
2000-01-21,8.48,14.8,13.51
2000-01-22,8.15,14.77,13.44
2000-01-23,7.875,14.72,13.36
2000-01-24,7.745,14.65,13.27
2000-01-25,7.81,14.57,13.18
2000-01-26,7.91,14.48,13.09
2000-01-27,8.265,14.4,13.01
2000-01-28,9.055,14.43,13.08
2000-01-29,10.62,14.6,13.33
2000-01-30,12.5,15.03,13.83
2000-01-31,14.55,15.67,14.5
2000-02-01,17.2,16.57,15.4
2000-02-02,19.95,17.55,16.21
2000-02-03,22.15,18.63,17.1
2000-02-04,23.9,19.66,17.83
2000-02-05,26.8,20.55,18.4
2000-02-06,29.85,21.66,19.36
2000-02-07,31.45,22.85,20.33
2000-02-08,32.8,23.96,21.13
2000-02-09,34.45,25.1,22.01
2000-02-10,35.3,26.37,23.0
2000-02-11,35.3,27.43,23.61
2000-02-12,35.05,28.17,23.92
2000-02-13,34.5,28.63,24.06
2000-02-14,33.9,29.12,24.41
2000-02-15,34.45,29.64,24.74
2000-02-16,36.15,30.0,24.88
2000-02-17,38.0,30.42,25.21
2000-02-18,38.6,30.93,25.57
2000-02-19,37.85,31.37,25.8
2000-02-20,36.95,31.6,25.87
2000-02-21,35.85,31.67,25.86
2000-02-22,35.05,31.63,25.8
2000-02-23,33.4,31.52,25.72
2000-02-24,30.85,31.36,25.63
2000-02-25,29.35,31.17,25.52
2000-02-26,29.15,30.97,25.4
2000-02-27,29.15,30.78,25.3
2000-02-28,28.6,30.65,25.28
2000-02-29,28.05,30.63,25.38
2000-03-01,27.75,30.77,25.55
2000-03-02,27.6,31.08,25.77
2000-03-03,27.45,31.36,25.86
2000-03-04,27.15,31.59,25.98
2000-03-05,26.7,31.77,26.03
2000-03-06,26.1,31.84,26.0
2000-03-07,25.5,31.79,25.91
2000-03-08,25.65,32.32,26.52
2000-03-09,26.4,33.81,27.57
2000-03-10,27.15,35.7,28.49
2000-03-11,27.9,37.0,28.92
2000-03-12,28.6,37.47,29.03
2000-03-13,29.35,37.4,29.01
2000-03-14,29.7,37.04,28.92
2000-03-15,29.7,36.56,28.79
2000-03-16,30.1,36.63,29.2
2000-03-17,30.85,36.99,29.42
2000-03-18,31.6,37.13,29.44
2000-03-19,32.55,36.97,29.35
2000-03-20,33.95,36.6,29.21
2000-03-21,35.05,36.11,29.02
2000-03-22,35.3,35.57,28.8
2000-03-23,35.05,35.03,28.57
2000-03-24,34.8,34.55,28.37
2000-03-25,33.95,34.19,28.25
2000-03-26,32.53,33.9,28.11
2000-03-27,31.6,33.6,27.94
2000-03-28,31.05,33.3,27.78
2000-03-29,30.7,33.07,27.71
2000-03-30,30.5,32.96,27.69
2000-03-31,30.85,32.93,27.7
2000-04-01,31.6,33.25,28.14
2000-04-02,32.55,34.0,28.52
2000-04-03,33.35,34.68,28.65
2000-04-04,34.2,34.99,28.59
2000-04-05,34.2,34.92,28.43
2000-04-06,34.45,34.72,28.36
2000-04-07,37.5,37.65,30.78
2000-04-08,41.5,42.88,32.86
2000-04-09,45.7,46.35,33.57
2000-04-10,50.15,47.38,33.71
2000-04-11,53.9,46.9,33.6
2000-04-12,55.2,45.67,33.36
2000-04-13,53.1,44.13,33.01
2000-04-14,48.9,42.51,32.58
2000-04-15,45.25,40.94,32.1
2000-04-16,43.35,39.52,31.62
2000-04-17,41.9,38.3,31.2
2000-04-18,40.45,37.29,30.85
2000-04-19,38.6,36.42,30.53
2000-04-20,37.25,35.68,30.22
2000-04-21,36.15,35.01,29.92
2000-04-22,34.2,34.4,29.61
2000-04-23,32.35,33.83,29.3
2000-04-24,31.05,33.27,28.98
2000-04-25,29.75,32.72,28.66
2000-04-26,28.45,32.19,28.35
2000-04-27,27.6,31.68,28.04
2000-04-28,27.0,31.2,27.75
2000-04-29,25.95,30.72,27.44
2000-04-30,24.7,30.26,27.14
2000-05-01,23.45,29.8,26.84
2000-05-02,22.15,29.36,26.54
2000-05-03,20.55,28.93,26.25
2000-05-04,18.65,28.52,25.97
2000-05-05,16.8,28.12,25.69
2000-05-06,14.75,27.74,25.41
2000-05-07,12.5,27.36,25.13
2000-05-08,10.85,27.0,24.86
2000-05-09,10.04,26.64,24.59
