Date,Qobs,sim1,sim2
2000-01-02,10.3,11.19,9.64
2000-01-03,10.4,12.02,10.26
2000-01-04,10.4,11.84,9.843
2000-01-05,10.8,11.65,9.952
2000-01-06,12.1,11.9,10.43
2000-01-07,14.05,12.29,10.77
2000-01-08,14.95,12.57,10.9
2000-01-09,14.45,12.73,10.95
2000-01-10,13.7,12.81,10.98
2000-01-11,13.15,12.87,11.02
2000-01-12,12.9,12.89,11.03
2000-01-13,12.5,12.88,11.02
2000-01-14,11.7,12.85,10.98
2000-01-15,11.2,12.79,10.91
2000-01-16,10.95,12.7,10.82
2000-01-17,10.7,12.58,10.72
2000-01-18,10.65,12.81,11.15
2000-01-19,10.3,13.26,11.62
2000-01-20,9.775,13.6,11.83
2000-01-21,9.365,13.86,11.97
2000-01-22,8.79,14.02,12.03
2000-01-23,8.4,14.08,12.03
2000-01-24,7.91,14.07,11.98
2000-01-25,7.33,14.02,11.91
2000-01-26,7.175,13.92,11.81
2000-01-27,7.385,13.79,11.7
2000-01-28,8.13,13.71,11.69
2000-01-29,9.28,13.69,11.71
2000-01-30,10.73,13.93,12.08
2000-01-31,13.85,14.67,12.97
2000-02-01,19.95,16.18,14.4
2000-02-02,24.9,18.89,15.81
2000-02-03,27.0,22.77,17.04
2000-02-04,28.8,26.68,18.12
2000-02-05,29.7,29.4,19.11
2000-02-06,29.25,31.57,20.67
2000-02-07,28.8,36.02,22.68
2000-02-08,28.65,38.57,23.81
2000-02-09,27.75,38.67,24.65
2000-02-10,25.65,38.86,25.55
2000-02-11,23.4,38.71,25.99
2000-02-12,22.05,37.53,25.89
2000-02-13,21.0,35.55,25.28
2000-02-14,20.1,33.66,25.09
2000-02-15,19.5,33.47,25.75
2000-02-16,19.05,33.98,25.94
2000-02-17,18.9,33.19,25.49
2000-02-18,19.05,31.94,24.99
2000-02-19,18.75,30.57,24.41
2000-02-20,17.85,29.22,23.81
2000-02-21,16.85,28.02,23.26
2000-02-22,16.0,27.02,22.78
2000-02-23,15.4,26.18,22.33
2000-02-24,14.7,25.44,21.87
2000-02-25,14.2,24.75,21.42
2000-02-26,14.35,24.98,22.48
2000-02-27,15.7,28.65,25.48
2000-02-28,17.4,33.35,26.97
2000-02-29,18.0,34.0,26.43
2000-03-01,17.55,32.4,25.52
2000-03-02,16.85,30.82,25.05
2000-03-03,16.15,29.86,24.73
2000-03-04,15.25,28.95,24.21
2000-03-05,14.8,29.55,25.94
2000-03-06,14.95,33.81,28.19
2000-03-07,15.1,35.23,27.53
2000-03-08,15.55,33.42,26.29
2000-03-09,17.6,35.07,29.82
2000-03-10,23.1,52.95,44.86
2000-03-11,29.5,71.14,49.66
2000-03-12,33.6,69.39,46.84
2000-03-13,35.9,62.71,43.29
2000-03-14,37.6,55.44,39.13
2000-03-15,38.4,48.2,35.43
2000-03-16,36.5,44.63,35.67
2000-03-17,33.75,44.38,35.82
2000-03-18,31.5,42.22,33.98
2000-03-19,29.4,39.0,31.99
2000-03-20,28.05,36.07,30.35
2000-03-21,27.3,33.69,29.02
2000-03-22,27.15,31.87,28.07
2000-03-23,27.6,30.75,27.83
2000-03-24,27.6,30.59,28.67
