Date,Qobs,sim1,sim2
2000-01-02,8.29,10.8,10.61
2000-01-03,8.4,12.99,11.99
2000-01-04,8.55,11.71,11.2
2000-01-05,9.0,11.51,10.95
2000-01-06,10.18,11.47,11.05
2000-01-07,12.05,11.55,11.27
2000-01-08,13.5,11.65,11.4
2000-01-09,13.65,11.74,11.47
2000-01-10,13.25,11.83,11.51
2000-01-11,12.95,11.92,11.56
2000-01-12,12.6,11.99,11.6
2000-01-13,12.15,12.04,11.59
2000-01-14,11.55,12.05,11.56
2000-01-15,10.9,12.04,11.5
2000-01-16,10.25,12.01,11.44
2000-01-17,9.63,11.96,11.38
2000-01-18,9.17,11.99,11.45
2000-01-19,9.26,12.1,11.6
2000-01-20,9.18,12.21,11.69
2000-01-21,8.755,12.28,11.71
2000-01-22,8.67,12.32,11.68
2000-01-23,8.42,12.32,11.63
2000-01-24,8.405,12.31,11.58
2000-01-25,8.62,12.27,11.52
2000-01-26,8.57,12.23,11.45
2000-01-27,8.79,12.18,11.39
2000-01-28,9.06,12.16,11.38
2000-01-29,9.155,12.2,11.46
2000-01-30,9.25,12.38,11.73
2000-01-31,9.4,12.76,12.18
2000-02-01,11.58,13.35,12.84
2000-02-02,16.7,14.09,13.52
2000-02-03,21.35,14.94,14.25
2000-02-04,25.05,15.77,14.83
2000-02-05,29.35,16.49,15.24
2000-02-06,32.35,17.28,15.83
2000-02-07,33.75,18.12,16.44
2000-02-08,35.25,18.88,16.9
2000-02-09,37.15,19.57,17.31
2000-02-10,38.6,20.28,17.79
2000-02-11,39.1,20.89,18.09
2000-02-12,38.45,21.32,18.24
2000-02-13,36.5,21.6,18.29
2000-02-14,33.9,21.84,18.43
2000-02-15,31.05,22.07,18.57
2000-02-16,28.55,22.24,18.63
2000-02-17,26.85,22.41,18.76
2000-02-18,25.6,22.71,19.03
2000-02-19,25.1,22.98,19.18
2000-02-20,25.1,23.14,19.19
2000-02-21,24.8,23.18,19.14
2000-02-22,23.8,23.12,19.07
2000-02-23,22.45,22.99,18.97
2000-02-24,21.3,22.81,18.87
2000-02-25,20.3,22.61,18.75
2000-02-26,19.4,22.39,18.63
2000-02-27,19.2,22.17,18.51
2000-02-28,20.1,21.97,18.4
2000-02-29,20.8,21.8,18.32
2000-03-01,20.8,21.67,18.27
2000-03-02,20.4,21.6,18.26
2000-03-03,19.7,21.56,18.24
2000-03-04,18.95,21.55,18.23
2000-03-05,18.1,21.58,18.25
2000-03-06,17.7,21.61,18.24
2000-03-07,17.3,21.61,18.19
2000-03-08,17.0,21.72,18.32
2000-03-09,17.7,22.15,18.77
2000-03-10,19.05,22.87,19.26
2000-03-11,20.55,23.59,19.52
2000-03-12,21.3,24.11,19.59
2000-03-13,21.05,24.36,19.57
2000-03-14,20.55,24.36,19.5
2000-03-15,20.05,24.19,19.41
2000-03-16,20.05,24.11,19.57
2000-03-17,20.8,24.2,19.76
2000-03-18,21.55,24.33,19.8
2000-03-19,21.8,24.38,19.76
2000-03-20,21.4,24.31,19.68
