Date,Qobs,sim1,sim2
2000-01-02,4.485,5.656,4.757
2000-01-03,4.32,6.236,5.037
2000-01-04,4.06,5.851,4.759
2000-01-05,4.06,5.812,4.966
2000-01-06,4.43,6.326,5.606
2000-01-07,4.485,6.949,6.063
2000-01-08,4.54,7.339,6.256
2000-01-09,5.145,7.572,6.397
2000-01-10,5.585,7.734,6.51
2000-01-11,5.42,7.875,6.625
2000-01-12,5.09,7.956,6.669
2000-01-13,4.705,7.96,6.649
2000-01-14,4.43,7.902,6.591
2000-01-15,4.375,7.803,6.509
2000-01-16,4.265,7.676,6.411
2000-01-17,4.21,7.527,6.299
2000-01-18,4.375,7.619,6.536
2000-01-19,4.43,7.878,6.778
2000-01-20,4.265,8.05,6.86
2000-01-21,4.32,8.108,6.869
2000-01-22,4.485,8.11,6.859
2000-01-23,4.595,8.071,6.82
2000-01-24,4.54,7.99,6.751
2000-01-25,4.32,7.875,6.659
2000-01-26,4.21,7.737,6.555
2000-01-27,4.21,7.587,6.443
2000-01-28,4.32,7.469,6.391
2000-01-29,4.43,7.499,6.491
2000-01-30,5.145,7.831,6.886
2000-01-31,6.83,8.597,7.691
2000-02-01,12.0,9.899,8.834
2000-02-02,14.75,11.53,9.813
2000-02-03,13.4,13.4,10.72
2000-02-04,13.0,14.92,11.35
2000-02-05,13.65,15.45,11.76
2000-02-06,19.35,17.66,12.77
2000-02-07,22.45,19.75,13.61
2000-02-08,20.1,20.03,14.05
2000-02-09,19.0,20.3,14.56
2000-02-10,18.6,20.76,15.04
2000-02-11,17.5,20.04,15.04
2000-02-12,15.4,19.1,14.98
2000-02-13,13.15,18.17,14.76
2000-02-14,11.3,18.05,14.88
2000-02-15,10.05,18.33,15.02
2000-02-16,8.775,17.82,14.79
2000-02-17,8.04,17.32,14.71
2000-02-18,8.04,17.33,14.72
2000-02-19,7.655,16.94,14.49
2000-02-20,6.77,16.32,14.13
2000-02-21,6.08,15.66,13.7
2000-02-22,5.915,15.02,13.25
2000-02-23,5.805,14.4,12.79
2000-02-24,5.695,13.79,12.33
2000-02-25,5.64,13.23,11.89
2000-02-26,5.805,13.09,11.95
2000-02-27,6.025,14.06,12.81
2000-02-28,6.025,14.93,13.34
2000-02-29,5.915,15.14,13.44
2000-03-01,5.805,15.02,13.37
2000-03-02,5.915,14.78,13.21
2000-03-03,6.265,14.51,13.04
2000-03-04,6.45,14.19,12.8
2000-03-05,6.525,15.99,13.85
2000-03-06,6.12,16.87,14.08
2000-03-07,5.53,16.08,13.59
2000-03-08,5.75,15.2,13.22
2000-03-09,10.89,18.69,15.54
2000-03-10,19.35,29.25,21.19
2000-03-11,19.35,30.48,21.23
2000-03-12,15.7,27.23,19.85
2000-03-13,14.75,24.45,18.79
2000-03-14,13.15,21.42,17.29
2000-03-15,12.65,19.07,16.14
2000-03-16,13.0,19.24,16.92
2000-03-17,13.1,19.57,17.12
2000-03-18,12.8,18.62,16.4
2000-03-19,12.35,17.44,15.62
2000-03-20,11.15,16.33,14.84
2000-03-21,9.02,15.3,14.07
2000-03-22,7.34,14.39,13.38
2000-03-23,7.01,13.79,13.03
2000-03-24,7.59,13.56,12.98
2000-03-25,7.75,13.52,13.03
2000-03-26,7.244,13.39,12.88
2000-03-27,6.68,13.16,12.68
2000-03-28,5.485,13.06,12.67
2000-03-29,5.485,13.93,13.88
2000-03-30,7.095,15.31,14.83
2000-03-31,9.32,17.01,16.06
2000-04-01,11.55,19.41,17.55
2000-04-02,12.75,19.65,17.22
2000-04-03,12.25,18.36,16.14
2000-04-04,9.92,16.86,15.07
2000-04-05,8.45,15.43,14.03
2000-04-06,19.08,22.24,19.5
2000-04-07,29.1,34.05,27.34
2000-04-08,26.35,32.41,25.58
2000-04-09,24.2,26.33,21.4
2000-04-10,21.6,21.61,18.37
2000-04-11,16.35,18.39,16.28
2000-04-12,12.65,16.06,14.66
2000-04-13,11.7,14.23,13.3
2000-04-14,9.025,12.69,12.08
2000-04-15,6.135,11.28,10.83
2000-04-16,6.3,10.06,9.733
2000-04-17,6.68,9.086,8.899
2000-04-18,5.51,8.384,8.326
2000-04-19,4.2,7.903,7.944
2000-04-20,3.99,7.574,7.683
2000-04-21,3.85,7.341,7.492
2000-04-22,3.71,7.168,7.342
2000-04-23,3.57,7.029,7.215
2000-04-24,3.29,6.91,7.102
2000-04-25,2.92,6.803,6.997
2000-04-26,3.08,6.72,6.94
2000-04-27,3.73,6.712,7.017
2000-04-28,4.13,6.763,7.107
2000-04-29,4.06,6.753,7.02
2000-04-30,3.85,6.637,6.821
2000-05-01,3.78,6.47,6.617
2000-05-02,3.71,6.308,6.45
2000-05-03,3.15,6.169,6.317
2000-05-04,2.61,6.053,6.206
2000-05-05,2.56,5.953,6.109
2000-05-06,2.505,5.863,6.02
2000-05-07,2.45,5.78,5.936
2000-05-08,2.415,5.701,5.855
2000-05-09,2.38,5.624,5.776
2000-05-10,2.24,5.549,5.698
2000-05-11,1.925,5.489,5.666
2000-05-12,1.725,5.438,5.655
2000-05-13,1.67,5.369,5.571
2000-05-14,1.61,5.288,5.463
2000-05-15,1.555,5.208,5.363
2000-05-16,1.53,5.134,5.277
2000-05-17,1.585,5.063,5.199
2000-05-18,1.73,4.996,5.127
2000-05-19,1.89,4.931,5.057
2000-05-20,1.96,4.868,5.003
2000-05-21,1.89,4.808,4.966
2000-05-22,1.89,4.75,4.949
2000-05-23,1.96,4.695,4.975
