Date,Qobs,sim1,sim2
2000-01-02,27.25,30.57,26.62
2000-01-03,26.35,32.31,28.94
2000-01-04,26.35,33.41,28.43
2000-01-05,27.45,32.95,27.38
2000-01-06,27.6,32.63,27.59
2000-01-07,27.4,33.15,28.74
2000-01-08,27.9,34.04,29.88
2000-01-09,28.25,34.88,30.6
2000-01-10,27.45,35.58,30.93
2000-01-11,26.8,36.06,31.08
2000-01-12,26.8,36.35,31.13
2000-01-13,26.65,36.42,31.07
2000-01-14,26.05,36.32,30.92
2000-01-15,25.0,36.1,30.72
2000-01-16,24.7,35.82,30.48
2000-01-17,24.85,35.49,30.21
2000-01-18,24.55,35.27,30.15
2000-01-19,24.4,35.35,30.43
2000-01-20,24.1,35.63,30.74
2000-01-21,23.5,35.83,30.93
2000-01-22,22.9,35.94,30.98
2000-01-23,22.3,35.96,30.92
2000-01-24,22.0,35.89,30.76
2000-01-25,21.6,35.71,30.55
2000-01-26,20.8,35.45,30.3
2000-01-27,20.4,35.14,30.03
2000-01-28,20.4,34.82,29.8
2000-01-29,21.1,34.64,29.81
2000-01-30,21.9,34.91,30.32
2000-01-31,23.65,35.83,31.42
2000-02-01,26.85,38.05,33.6
2000-02-02,30.95,42.31,36.51
2000-02-03,35.9,49.72,39.81
2000-02-04,39.6,61.32,42.96
2000-02-05,42.75,73.91,45.22
2000-02-06,45.35,84.84,49.45
2000-02-07,48.55,105.8,57.79
2000-02-08,52.7,129.9,66.6
2000-02-09,55.55,140.1,72.91
2000-02-10,57.15,140.7,77.94
2000-02-11,57.6,137.4,80.16
2000-02-12,58.0,126.5,77.3
2000-02-13,58.6,111.7,72.14
2000-02-14,60.7,98.83,68.67
2000-02-15,63.05,92.18,68.38
2000-02-16,63.05,89.21,67.98
2000-02-17,62.0,85.41,66.12
2000-02-18,60.35,84.05,68.36
2000-02-19,58.85,91.82,74.24
2000-02-20,58.0,95.19,72.51
2000-02-21,55.8,89.61,67.58
2000-02-22,52.65,81.38,63.1
2000-02-23,50.2,74.14,59.73
2000-02-24,48.35,68.63,57.26
2000-02-25,47.0,64.6,55.39
2000-02-26,45.85,61.69,54.04
2000-02-27,44.6,59.89,53.86
2000-02-28,44.25,59.96,56.39
2000-02-29,44.95,63.06,60.4
2000-03-01,45.3,68.02,63.33
2000-03-02,44.95,72.65,65.09
2000-03-03,44.25,75.76,66.52
2000-03-04,43.15,80.04,69.74
2000-03-05,42.6,85.48,73.4
2000-03-06,42.8,93.39,77.2
2000-03-07,42.2,94.37,74.56
2000-03-08,41.6,88.65,69.91
2000-03-09,42.75,87.72,76.39
2000-03-10,46.1,115.5,108.5
2000-03-11,50.2,160.2,128.9
2000-03-12,52.5,165.4,118.2
2000-03-13,51.95,143.2,101.3
2000-03-14,50.4,120.0,87.81
