Date,Qobs,sim1,sim2
2000-01-02,15.85,27.11,25.48
2000-01-03,15.7,29.79,27.83
2000-01-04,14.85,29.07,26.18
2000-01-05,14.45,27.86,25.15
2000-01-06,15.2,27.09,24.68
2000-01-07,15.65,27.24,24.96
2000-01-08,15.55,28.1,25.7
2000-01-09,14.8,28.64,26.13
2000-01-10,14.6,28.62,26.14
2000-01-11,14.8,28.26,25.88
2000-01-12,14.8,27.76,25.5
2000-01-13,14.1,27.22,25.09
2000-01-14,13.6,26.7,24.67
2000-01-15,13.3,26.19,24.27
2000-01-16,12.25,25.71,23.87
2000-01-17,12.25,25.25,23.49
2000-01-18,13.0,24.95,23.31
2000-01-19,13.1,25.02,23.49
2000-01-20,13.65,25.32,23.82
2000-01-21,13.65,25.5,23.92
2000-01-22,13.2,25.45,23.78
2000-01-23,13.2,25.22,23.5
2000-01-24,12.7,24.87,23.15
2000-01-25,12.2,24.47,22.79
2000-01-26,12.2,24.05,22.43
2000-01-27,12.2,23.63,22.07
2000-01-28,11.9,23.23,21.73
2000-01-29,11.9,22.86,21.42
2000-01-30,12.2,22.52,21.14
2000-01-31,12.2,22.93,21.55
2000-02-01,23.0,26.7,24.47
2000-02-02,60.25,37.73,31.77
2000-02-03,101.3,55.47,42.43
2000-02-04,134.5,75.24,55.05
2000-02-05,176.0,85.83,59.57
2000-02-06,206.0,102.8,78.72
2000-02-07,254.5,147.8,115.9
2000-02-08,287.0,173.9,126.0
2000-02-09,240.5,170.9,126.0
2000-02-10,199.5,167.6,129.6
2000-02-11,165.0,158.9,121.1
2000-02-12,117.5,138.9,105.5
2000-02-13,91.55,118.0,92.13
2000-02-14,78.25,106.9,90.09
2000-02-15,72.05,107.5,93.75
2000-02-16,64.0,103.7,86.0
2000-02-17,56.4,91.08,74.11
2000-02-18,57.55,89.86,81.29
2000-02-19,59.45,91.52,79.49
2000-02-20,54.15,81.59,68.46
2000-02-21,47.9,69.84,59.66
2000-02-22,44.8,61.01,54.03
2000-02-23,43.45,55.14,50.51
2000-02-24,39.45,51.3,48.18
2000-02-25,39.8,48.69,46.49
2000-02-26,43.1,49.44,50.37
2000-02-27,45.5,60.21,67.21
2000-02-28,52.7,78.99,81.21
2000-02-29,62.1,87.49,80.98
2000-03-01,67.6,87.5,80.77
2000-03-02,68.55,89.38,84.61
2000-03-03,95.15,106.9,110.6
2000-03-04,108.5,128.7,116.0
2000-03-05,92.75,127.8,111.1
2000-03-06,81.15,120.5,102.4
2000-03-07,65.55,103.9,85.0
2000-03-08,54.9,86.72,74.48
2000-03-09,62.55,97.2,109.3
2000-03-10,122.3,181.5,210.5
2000-03-11,212.5,245.7,205.4
2000-03-12,242.0,203.8,158.9
2000-03-13,182.0,155.7,123.6
2000-03-14,114.1,120.7,97.38
2000-03-15,92.7,95.63,79.98
2000-03-16,89.9,84.78,81.66
2000-03-17,81.05,89.33,89.97
2000-03-18,69.35,89.25,81.78
2000-03-19,65.1,79.94,71.29
2000-03-20,63.6,70.28,63.78
2000-03-21,60.2,63.13,58.92
2000-03-22,58.3,58.4,56.09
2000-03-23,58.7,55.89,56.53
2000-03-24,57.95,58.58,70.03
2000-03-25,59.05,74.99,90.99
2000-03-26,60.52,93.87,94.01
2000-03-27,59.05,95.66,90.65
2000-03-28,60.95,100.3,108.1
2000-03-29,71.05,128.6,131.3
2000-03-30,77.25,140.3,128.4
2000-03-31,78.6,140.2,132.4
2000-04-01,83.95,144.8,134.6
2000-04-02,82.15,135.6,118.4
2000-04-03,82.6,121.8,115.2
2000-04-04,89.0,123.8,118.8
2000-04-05,85.8,117.4,103.4
2000-04-06,90.1,151.7,183.6
2000-04-07,224.0,361.2,387.8
2000-04-08,364.5,414.3,355.9
2000-04-09,364.5,298.0,226.2
2000-04-10,290.0,193.9,156.0
2000-04-11,197.0,138.5,114.7
2000-04-12,142.5,105.5,91.06
2000-04-13,111.5,86.0,78.39
2000-04-14,96.6,75.04,72.56
2000-04-15,89.9,69.17,68.63
2000-04-16,80.6,64.81,63.91
2000-04-17,73.2,60.51,59.85
2000-04-18,71.25,57.4,58.78
2000-04-19,64.0,55.91,57.93
2000-04-20,53.8,54.08,54.72
2000-04-21,48.25,51.03,50.69
2000-04-22,43.8,47.65,47.28
2000-04-23,40.4,44.75,44.93
2000-04-24,39.75,42.6,43.45
2000-04-25,38.1,41.12,42.5
2000-04-26,37.1,40.16,41.94
2000-04-27,39.1,39.64,41.95
2000-04-28,43.8,39.55,42.27
2000-04-29,40.15,39.55,42.01
2000-04-30,32.25,39.25,41.09
2000-05-01,32.25,38.61,40.12
2000-05-02,31.5,37.85,39.37
2000-05-03,28.45,37.17,38.81
2000-05-04,26.2,36.61,38.36
2000-05-05,23.2,36.16,37.94
2000-05-06,21.7,35.76,37.55
2000-05-07,20.25,35.39,37.17
2000-05-08,18.8,35.03,36.8
2000-05-09,18.15,34.68,36.44
2000-05-10,16.85,34.34,36.08
2000-05-11,17.5,34.04,35.84
2000-05-12,18.8,33.83,35.84
2000-05-13,17.5,33.65,35.69
2000-05-14,16.2,33.36,35.18
2000-05-15,16.2,32.96,34.61
2000-05-16,16.2,32.54,34.13
2000-05-17,15.7,32.15,33.72
2000-05-18,15.2,31.8,33.36
2000-05-19,15.2,31.47,33.02
2000-05-20,15.7,31.17,32.82
2000-05-21,20.45,30.97,33.1
2000-05-22,27.7,30.97,34.15
2000-05-23,46.4,31.22,35.78
2000-05-24,62.1,31.87,38.46
2000-05-25,43.4,32.98,41.11
2000-05-26,21.75,34.25,41.77
2000-05-27,17.5,34.99,40.45
2000-05-28,16.2,34.66,38.14
2000-05-29,16.2,33.48,35.74
2000-05-30,16.2,32.05,34.02
2000-05-31,16.2,30.9,33.45
2000-06-01,16.2,30.25,33.81
2000-06-02,16.2,30.06,34.14
2000-06-03,15.7,30.09,34.02
2000-06-04,14.45,30.03,33.4
2000-06-05,13.7,29.71,32.4
2000-06-06,13.15,29.15,31.34
2000-06-07,12.6,28.46,30.45
2000-06-08,14.4,27.78,29.86
2000-06-09,14.95,27.22,29.55
2000-06-10,13.7,26.81,29.4
2000-06-11,12.6,26.52,29.16
2000-06-12,11.5,26.27,28.76
2000-06-13,12.15,26.0,28.34
2000-06-14,11.85,25.7,27.99
2000-06-15,11.85,25.41,27.69
2000-06-16,18.75,25.13,27.48
2000-06-17,19.45,24.88,27.4
2000-06-18,14.6,24.66,27.46
2000-06-19,13.8,24.46,27.53
2000-06-20,12.05,24.28,27.48
2000-06-21,11.5,24.11,27.23
2000-06-22,10.69,23.92,26.76
2000-06-23,10.19,23.7,26.2
2000-06-24,11.0,23.45,25.7
2000-06-25,11.5,23.19,25.34
2000-06-26,12.05,22.94,25.15
2000-06-27,17.15,22.7,25.19
2000-06-28,18.2,22.48,25.44
2000-06-29,14.7,22.27,25.6
2000-06-30,13.1,22.07,25.44
2000-07-01,13.35,21.88,25.0
2000-07-02,14.45,21.69,24.42
2000-07-03,12.6,21.5,23.86
2000-07-04,11.5,21.3,23.43
2000-07-05,12.4,21.1,23.19
2000-07-06,13.5,20.9,23.16
2000-07-07,12.6,20.7,23.22
2000-07-08,11.5,20.52,23.13
2000-07-09,11.5,20.33,22.91
2000-07-10,12.4,20.15,22.8
2000-07-11,14.75,19.97,22.9
2000-07-12,14.75,19.79,22.99
2000-07-13,12.4,19.62,22.88
2000-07-14,11.35,19.44,22.62
2000-07-15,11.55,19.28,22.38
2000-07-16,11.7,19.11,22.13
2000-07-17,13.1,18.94,21.87
2000-07-18,21.2,18.79,21.94
2000-07-19,43.0,18.66,22.59
2000-07-20,54.5,18.6,23.47
2000-07-21,34.75,18.69,23.85
2000-07-22,18.55,18.9,23.56
2000-07-23,16.25,19.06,22.82
2000-07-24,16.5,19.03,21.95
2000-07-25,16.5,18.82,21.17
2000-07-26,13.95,18.5,20.47
2000-07-27,14.95,18.14,19.9
2000-07-28,25.35,17.8,19.68
2000-07-29,37.45,17.51,19.94
2000-07-30,46.7,17.38,20.84
