Date,Qobs,sim1,sim2
2000-01-02,5.2,4.641,4.588
2000-01-03,5.2,4.666,4.561
2000-01-04,5.2,4.556,4.466
2000-01-05,5.2,4.47,4.392
2000-01-06,5.2,4.391,4.319
2000-01-07,5.2,4.316,4.25
2000-01-08,5.2,4.243,4.18
2000-01-09,5.2,4.17,4.112
2000-01-10,5.2,4.1,4.044
2000-01-11,5.2,4.033,3.981
2000-01-12,5.2,3.965,3.917
2000-01-13,5.2,3.896,3.853
2000-01-14,5.2,3.83,3.79
2000-01-15,5.2,3.766,3.731
2000-01-16,5.2,3.703,3.67
2000-01-17,5.196,3.643,3.614
2000-01-18,5.179,3.598,3.57
2000-01-19,5.152,3.591,3.564
2000-01-20,5.125,3.564,3.532
2000-01-21,5.097,3.517,3.483
2000-01-22,5.071,3.461,3.427
2000-01-23,5.043,3.405,3.376
2000-01-24,5.016,3.354,3.324
2000-01-25,4.99,3.3,3.27
2000-01-26,4.962,3.243,3.217
2000-01-27,4.935,3.188,3.164
2000-01-28,4.908,3.133,3.112
2000-01-29,4.88,3.078,3.064
2000-01-30,4.854,3.034,3.017
2000-01-31,4.826,2.997,2.986
2000-02-01,4.807,3.061,3.107
2000-02-02,4.8,3.409,3.528
2000-02-03,4.8,3.958,4.163
2000-02-04,4.8,4.895,5.076
2000-02-05,4.8,5.669,5.55
2000-02-06,5.252,7.089,6.353
2000-02-07,7.922,8.869,7.324
2000-02-08,9.742,10.36,8.325
2000-02-09,12.82,12.47,9.647
2000-02-10,18.73,14.35,10.74
2000-02-11,17.74,13.74,10.68
2000-02-12,13.26,12.12,10.17
2000-02-13,11.98,11.53,9.998
2000-02-14,11.55,12.21,10.35
2000-02-15,11.11,12.19,10.27
2000-02-16,10.67,11.25,9.846
2000-02-17,10.07,10.6,9.555
2000-02-18,9.361,10.24,9.346
2000-02-19,8.851,9.953,9.136
2000-02-20,8.512,9.701,8.936
2000-02-21,8.18,9.464,8.744
2000-02-22,7.848,9.237,8.557
2000-02-23,7.516,9.017,8.374
2000-02-24,7.185,8.803,8.196
2000-02-25,6.853,8.595,8.023
2000-02-26,6.648,8.535,8.001
2000-02-27,6.733,8.937,8.312
2000-02-28,6.98,9.567,8.686
2000-02-29,7.227,9.573,8.602
2000-03-01,7.568,11.63,9.71
2000-03-02,8.033,13.52,10.67
2000-03-03,8.134,18.49,13.73
2000-03-04,8.162,14.93,11.6
2000-03-05,8.239,13.13,11.07
2000-03-06,8.061,11.53,10.22
2000-03-07,8.352,10.59,9.697
2000-03-08,11.03,12.2,10.92
2000-03-09,73.22,23.36,18.18
2000-03-10,154.8,50.88,34.59
2000-03-11,121.2,38.17,26.13
2000-03-12,53.24,24.24,18.58
2000-03-13,34.97,18.32,15.75
2000-03-14,27.38,16.04,14.68
2000-03-15,23.92,15.08,14.16
2000-03-16,21.75,16.46,15.53
2000-03-17,19.52,15.52,14.61
2000-03-18,16.57,14.66,13.9
2000-03-19,14.1,14.1,13.45
2000-03-20,12.56,13.68,13.09
2000-03-21,11.67,13.3,12.77
2000-03-22,13.57,12.98,12.5
2000-03-23,16.73,17.4,16.36
2000-03-24,23.16,30.22,25.77
2000-03-25,29.31,40.44,31.7
2000-03-26,32.94,47.97,36.4
2000-03-27,48.38,58.53,43.86
2000-03-28,77.38,80.54,60.22
2000-03-29,88.69,77.17,58.95
2000-03-30,89.76,71.57,56.73
2000-03-31,93.17,79.9,64.62
