Date,Qobs,sim1,sim2
2000-01-02,164.5,220.7,204.2
2000-01-03,156.0,230.6,216.2
2000-01-04,159.5,231.3,214.3
2000-01-05,169.0,230.3,210.4
2000-01-06,169.0,229.5,207.4
2000-01-07,185.0,230.2,209.1
2000-01-08,230.0,234.2,215.5
2000-01-09,272.5,240.1,219.1
2000-01-10,251.0,243.7,218.1
2000-01-11,210.0,243.6,215.3
2000-01-12,202.5,240.8,212.4
2000-01-13,199.0,237.0,209.8
2000-01-14,191.5,232.9,207.1
2000-01-15,177.5,228.9,204.4
2000-01-16,174.0,224.9,201.5
2000-01-17,170.5,221.1,198.3
2000-01-18,159.0,217.8,196.2
2000-01-19,156.0,216.6,198.3
2000-01-20,172.5,220.0,206.5
2000-01-21,198.5,228.2,217.4
2000-01-22,202.5,238.8,222.7
2000-01-23,182.0,247.9,220.8
2000-01-24,158.0,251.4,216.5
2000-01-25,149.0,248.5,211.8
2000-01-26,146.0,242.2,207.0
2000-01-27,139.0,234.9,202.4
2000-01-28,151.0,227.9,198.4
2000-01-29,171.0,221.7,195.2
2000-01-30,177.0,217.1,193.3
2000-01-31,180.5,215.2,194.6
2000-02-01,220.5,221.2,210.4
2000-02-02,410.5,251.1,276.9
2000-02-03,660.0,345.1,420.3
2000-02-04,758.0,536.6,518.5
2000-02-05,737.0,702.3,568.8
2000-02-06,669.0,762.6,566.5
2000-02-07,731.0,816.0,671.8
2000-02-08,935.0,936.9,782.6
2000-02-09,975.0,1007.0,768.0
2000-02-10,876.5,990.8,759.6
2000-02-11,816.5,968.7,759.6
2000-02-12,776.0,932.9,706.0
2000-02-13,716.5,851.6,622.5
2000-02-14,641.5,751.6,557.4
2000-02-15,552.5,681.8,553.4
2000-02-16,498.5,660.1,571.0
2000-02-17,472.0,648.3,531.8
2000-02-18,446.5,610.9,489.9
2000-02-19,440.5,573.8,477.7
2000-02-20,433.5,541.5,454.5
2000-02-21,413.0,505.7,425.3
2000-02-22,374.0,470.2,401.3
2000-02-23,360.0,439.5,383.5
2000-02-24,355.0,414.9,369.8
2000-02-25,325.0,395.7,358.3
2000-02-26,304.5,382.4,354.9
2000-02-27,325.5,390.8,420.2
2000-02-28,459.0,463.9,581.3
2000-02-29,552.0,598.6,606.0
2000-03-01,503.5,654.9,557.0
2000-03-02,465.5,629.7,532.8
2000-03-03,465.5,610.4,574.3
2000-03-04,536.0,668.5,672.4
2000-03-05,572.0,734.8,648.3
2000-03-06,543.0,743.5,635.4
2000-03-07,543.0,717.9,605.7
2000-03-08,527.5,667.2,540.3
2000-03-09,491.5,620.2,537.7
2000-03-10,541.0,688.0,826.1
2000-03-11,836.0,1098.0,1420.0
2000-03-12,1475.0,1549.0,1204.0
2000-03-13,1890.0,1357.0,981.2
2000-03-14,1600.0,1120.0,828.9
2000-03-15,1185.0,935.7,701.9
2000-03-16,958.0,794.5,621.4
2000-03-17,831.0,718.0,642.2
2000-03-18,797.0,698.0,638.8
2000-03-19,756.5,672.5,578.3
2000-03-20,709.0,620.2,523.5
2000-03-21,687.0,563.0,484.2
2000-03-22,649.0,515.6,456.1
2000-03-23,603.5,480.2,441.7
2000-03-24,619.0,465.5,493.7
2000-03-25,679.0,513.0,642.6
2000-03-26,722.5,633.3,732.5
2000-03-27,722.0,740.4,766.6
2000-03-28,716.0,808.1,826.2
2000-03-29,781.0,910.4,992.5
2000-03-30,945.0,1080.0,1065.0
2000-03-31,1055.0,1132.0,1001.0
2000-04-01,1040.0,1089.0,970.2
2000-04-02,990.0,1050.0,920.2
2000-04-03,856.0,992.7,877.1
2000-04-04,804.0,986.8,941.1
2000-04-05,807.0,1007.0,899.8
2000-04-06,773.0,999.8,1054.0
2000-04-07,964.0,1636.0,2181.0
2000-04-08,1870.0,2341.0,1909.0
2000-04-09,2565.0,1923.0,1414.0
2000-04-10,2065.0,1440.0,1073.0
2000-04-11,1345.0,1118.0,851.7
2000-04-12,977.0,900.5,720.6
2000-04-13,820.0,759.3,659.7
2000-04-14,752.0,680.2,657.4
2000-04-15,701.5,657.3,669.6
2000-04-16,658.5,664.7,662.8
2000-04-17,627.0,666.5,653.1
2000-04-18,609.5,664.0,650.9
2000-04-19,604.5,660.9,628.5
